code fl ,code carton,gamme,puissance,culot,couleur,e100,controle 
FL220A600002,6193101805040,A60 B22,11,B22,6500,1,c
FL270A600003,6193101805033,A60 E27,11,E27,6500,1,c
FL270A600004,6193101804838,A60 E27,11,E27,3000,1,c
FL220A600001,6193101805064,A60 B22,13,B22,6500,1,c
FL270A600005,6193101805057,A60 E27,13,E27,6500,1,c
FL270A600008,6193101805088,A60 E27,13,E27,3000,1,c
FL270A600006,6193101805002,A60 E27,9,E27,6500,1,c
FL220A600004,6193101805019,A60 B22,9,B22,6500,1,c
FL270A600007,6193101805026,A60 E27,9,E27,3000,1,c
FL220A700002,6193101805125,A70 B22,18,B22,6500,1,c
FL270A700001,6193101804920,A70 E27,18,E27,6500,1,c
FL270A700002,6193101805071,A70 E27,15,E27,6500,1,c
FL220A700001,6193101805095,A70 B22,15,B22,6500,1,c
FL270A700003,6193101805132,A70 E27,15,E27,3000,1,c
FL270G450002,6193101804913,G45,6,E27,4000,1,c
FL270G450003,6193101805101,G45,6,E27,3000,1,c
FL270G450001,6193101804906,G45,6,E27,6500,1,c
FL140C350001,6193101804982,FLAMME,6,E14,6500,1,c
FL140C350002,6193101804999,FLAMME,6,E14,3000,1,c
FLSPGU100002,6193101804975,GU10,7,GU10,3000,1,c
FLSPGU100005,6193101805156,GU10,7,GU10,4000,1,c
FLSPGU100001,6193101804968,GU10,7,GU10,6500,1,c
FLSPGU100004,6193101804890,GU10,5,GU10,6500,1,c
FLSPGU100003,6193101804883,GU10,5,GU10,4000,1,c
FLSPGU100006,6193101805149,GU10,5,GU10,3000,1,c
FL27T1000001,6193101804937,T100,28,E27,6500,0,c
FL27T1200001,6193101804944,T120,38,E27,6500,0,c
FL27T1600001,6193101805118,T160,58,E27,6500,0,c
FL27T1400001,6193101804951,T140,48,E27,6500,0,c
